ProdCode,Customer,ProdName,ArticleNum,MatNum,OpSystem,DBAccName,DBAccVers,HostName,WkStNmae,AdpNum,ProcName,ProcNum,WkOrder,AVO,TPVersion,tLogIn,tLogOut,tLastAcc,tLatenz,tLatenzSumme,tCycle,tProc,FPY,CountPass,CountFail,CountPass_Retest,CountFail_Retest
7020,BSH,COMGen2 ADM 80010814,13602774-06,30003441-06,Win7/Srv,DBAcc2000,1.16.2,KATPC319,,,BG-Versand,7,,,,10/10/2022 22:00,10/10/2022 22:10,10/10/2022 22:00,0,,,0,100,0,0,0,0
6012,Telic,ELT-Main 74370.000 R,13603086-01BF,13603086-01BF,Win8/Srv,DBAcc2000,1.0016.0012,KATPC408,0512/B,16154,Vormontage,8,,,1.1.6:331776:28,10/10/2022 22:00,10/10/2022 23:44,10/10/2022 22:40,3810,5190,431.53,10.95,100,19,0,0,0
7020,BSH,COMGen2 ADM 80010814,13602774-06,30003529-04BF,Win7/Srv,DBAcc2000,1.16.2,KATPC287,,,Montage,6,,,,10/10/2022 22:00,,10/10/2022 22:00,0,,,0,100,0,0,0,0
6964,Kinexon,X-Tag 1.3,10000045,,Win8/Srv,DBAcc2000,1.0016.0012,KATPC420,0476/A,16145,FKT,5,,,1.09:258048:090,10/10/2022 22:00,10/11/2022 6:00,10/10/2022 22:00,0,,,0,100,0,0,0,0
5880,TakataPetri,LWS-Niere,30000724-09,30000724-09,WIN_XP/2,DBAcc2000,1.0016.0011,PTWS218WXPC3,0262/B,07/07/0899/01/C,IctFkt,2,,,2.5,10/10/2022 22:00,10/10/2022 23:01,10/10/2022 23:01,0,510,94.31,48.92,92.16,47,4,1,2
6679,BSH,LP IaB NF61,10000025,30003997,Win7/Srv,DBAcc2000,1.0016.0011,KATPC007,0332/A,04/14/2200/01/A,Endtest_Adapter,19,1259874,0010,,10/10/2022 22:00,10/10/2022 22:01,10/10/2022 22:00,0,,,0,100,0,0,0,0
3336,DataModul,easyMaxTOUCH640T,30002857BF,,Win8/Srv,DBAcc2000,1.0016.0017,KATPC534,0165/F,08/15/2295/01/A,FKT,4,,,3.01:532480:160,10/10/2022 22:00,10/11/2022 6:00,10/10/2022 22:00,0,,,0,100,0,0,0,0
5737,DataModul,eMotion OSD 5 Button,30003759BF,,Win8/Srv,DBAcc2000,1.0016.0017,KATPC225,0453,,BG-Versand,4,,,,10/10/2022 22:00,10/10/2022 22:05,10/10/2022 22:00,0,,,0,100,0,0,0,0
5313,BSH,MMU Jupiter/Saturn V,13602440-02BF,13602440-02BF,Win7/Srv,DBAcc2000,1.16.3,KATPC543,0348/A,V2122-01,FKTHand,19,1256460,0040,,10/10/2022 22:00,,10/11/2022 3:13,0,150,6339.33,106.33,100,3,0,0,0
6679,BSH,LP IaB NF61,10000025,30003997,Win7/Srv,DBAcc2000,1.0016.0011,PTWS164,0329/B,,BG-Versand,13,,,,10/10/2022 22:00,10/10/2022 22:21,10/10/2022 22:00,0,,,0,100,0,0,0,0
6111,BSH,LP IaB SE_NF_61,30003716-04BF,,Win7/Srv,DBAcc2000,1.0016.0012,KATPC255,0439/A,,Endtest,10,,,,10/10/2022 22:00,10/11/2022 6:00,10/11/2022 2:50,11375,15870,266.36,156.84,93.33,56,4,2,4
7196,AMO,Platine P6.DSER.H_SE,30003968-01,,Win8/Srv,DBAcc2000,1.0016.0016,KATPC369,,,FKTHand,7,,,,10/10/2022 22:00,10/11/2022 6:00,10/10/2022 22:00,0,,,0,100,0,0,0,0
4887,BSH,COMGen2 ADM 80010681,13602564-02BF,13900707BF,Win8/Srv,DBAcc2000,1.0016.0016,KATPC424,,,Montage,6,,,,10/10/2022 22:00,10/11/2022 6:00,10/10/2022 22:00,0,,,0,100,0,0,0,0
4213,WeWash,Wallbox W4H,30003266BF,30003266BF,Win8/Srv,DBAcc2000,1.0016.0017,KATPC239,17779,11916,VDEneu,11,,,1.00:581632:300,10/10/2022 22:00,10/11/2022 5:48,10/11/2022 5:34,810,25080,572.15,28.62,100,47,0,0,0
6687,BSH,LP IaB BO62 Gl,10000033,,Win7/Srv,DBAcc2000,1.16.7,KATPC344,,,Twister,10,,,,10/10/2022 22:00,10/10/2022 22:28,10/10/2022 22:13,870,900,184.8,30.14,92.31,12,1,2,0
9999,Tremec,TRC75,V2417,,Win7/Srv,DBAcc2000,1.0016.0017,KATPC233,0418/A,11806,Leer_nach_Versc,4,,,,10/10/2022 22:00,,10/11/2022 3:30,150,11910,322.18,91.3,100,66,0,0,0
6679,BSH,LP IaB NF61,10000025,30003997,Win7/Srv,DBAcc2000,1.0016.0011,KATPC123,0328/A,11/14/2200/02/A,Endtest_Adapter,19,1259874,0010,,10/10/2022 22:00,10/10/2022 22:01,10/10/2022 22:00,0,,,0,100,0,0,0,0
6964,Kinexon,X-Tag 1.3,10000045,30004020,Win8/Srv,DBAcc2000,1.0016.0017,KATPC186,0480/A,,BG-Versand,7,,,,10/10/2022 22:00,10/11/2022 6:00,10/10/2022 22:00,0,,,0,100,0,0,0,0
F556,Kathrein,FlexRET RAE,30003817BF,,Win8/Srv,DBAcc2000,1.0016.0017,KATPC252,0395/A,06/17/2499/01/A,FKTHand,5,,,,10/10/2022 22:00,10/11/2022 6:00,10/10/2022 22:00,0,,,0,100,0,0,0,0
7058,Tremec,TRC75_C6_063.0_02,10000127,20000064,Win7/Srv,DBAcc2000,1.0016.0017,KATPC233,0418/A,11806,Montage,8,,,2.30:3612672:08,10/10/2022 22:00,,10/11/2022 3:30,811,12990,322.23,80.58,100,66,0,0,0
7196,AMO,Platine P6.DSER.H_SE,30003968-01,30003968-01,Win7/Srv,DBAcc2000,1.16.3,KATPC337,,,BG-Versand,8,,,,10/10/2022 22:00,10/11/2022 6:00,10/10/2022 22:00,0,,,0,100,0,0,0,0
2057,BSH,LP BT HV2,13600282BF,30001876BF,WIN_XP/2,DBAcc2000,1.16.3,PTWS137,,,BG-Versand,11,,,,10/10/2022 22:00,10/11/2022 3:41,10/11/2022 3:35,0,3600,902.14,0.61,100,28,0,0,0
6423,Telic,ELT 05204.007 ESIM-I,30003970-01,30003970-01,Win8/Srv,DBAcc2000,1.0016.0016,KATPC487,0538/A,13967,Montage,4,,,1.2.3:380928:10,10/10/2022 22:00,10/10/2022 23:49,10/10/2022 23:38,690,870,298.16,109.72,96,24,1,1,0
7078,BSH,MMU Jupiter/Saturn V,13600518-20,13600518-20,Win7/Srv,DBAcc2000,1.16.0,KATPC130,0370/A,V2123-01,FKTHand,19,1258984,5000,,10/10/2022 22:00,10/11/2022 6:00,10/11/2022 5:59,0,780,74.03,74.81,63.17,211,123,45,10
4213,WeWash,Wallbox W4H,30003266BF,,Win7/Srv,DBAcc2000,1.16.2002,KATPC254,0425/A,11/17/2540/01/A,Endtest,7,,,1.20,10/10/2022 22:00,10/11/2022 6:00,10/11/2022 5:45,871,5940,1152.46,375.84,71.74,33,13,12,6
F472,Kathrein,RCU RFID,30002707-02BF,,Win7/Srv,DBAcc2000,1.0016.0017,KATPC277,0401-A,,Beschichtung,19,,,,10/10/2022 22:00,10/11/2022 6:00,10/10/2022 22:00,0,,,0,100,0,0,0,0
6684,BSH,LP IaB BO61 St,10000030,,Win7/Srv,DBAcc2000,1.0016.0013,LINIE5W2T1,334,2265,IctFktInline,21,,,,10/10/2022 22:00,10/10/2022 23:12,10/10/2022 22:43,1680,2760,109.22,37.71,98,98,2,8,0
6012,Telic,ELT-Main 74370.000 R,13603086-01BF,,Win8/Srv,DBAcc2000,1.0016.0016,KATPC487,0538/A,13967,Montage,10,,,,10/10/2022 22:00,10/10/2022 23:49,10/10/2022 23:38,690,810,286.69,106.16,100,25,0,0,0
6221,BSH,ASM Elektronik UI ES,30003455-05BF,30003455-05BF,Win8/Srv,DBAcc2000,1.0016.0017,KATPC493,,,Programmierung,9,,,1.15:315392:071,10/10/2022 22:00,10/11/2022 6:00,10/11/2022 5:18,2460,6060,361.97,323.17,98.48,65,1,0,0
3336,DataModul,easyMaxTOUCH640T,30002857BF,30002857BF,Win7/Srv,DBAcc2000,1.0016.0011,KATPC309,415,,Versand,5,,,,10/10/2022 22:00,10/11/2022 6:00,10/10/2022 22:00,0,,,0,100,0,0,0,0
6221,BSH,ASM Elektronik UI ES,30003455-05BF,30003455-05BF,Win7/Srv,DBAcc2000,1.0016.0012,KATPC200,,12146,Endtest,7,,,1.16:380928:270,10/10/2022 22:00,10/11/2022 6:00,10/11/2022 5:22,2220,5070,361.88,331.01,100,67,0,0,0
F556,Kathrein,FlexRET RAE,30003817BF,,Win8/Srv,DBAcc2000,1.0016.0017,KATPC530,0551/A,17735,FKTHand,5,,,,10/10/2022 22:00,10/11/2022 6:00,10/10/2022 22:00,0,,,0,100,0,0,0,0
6221,BSH,ASM Elektronik UI ES,30003455-05BF,30003455-05BF,Win8/Srv,DBAcc2000,1.0016.0017,KATPC498,,,Programmierung,9,,,1.15:315392:071,10/10/2022 22:00,,10/10/2022 22:00,0,,,0,100,0,0,0,0
6687,BSH,LP IaB BO62 Gl,10000033,,Win8/Srv,DBAcc2000,1.0016.0011,KATPC392,0274/A,11341,NutzTrennInline,24,,,,10/10/2022 22:00,10/10/2022 22:05,10/10/2022 22:00,0,,,0,100,0,0,0,0
4462,DataModul,eMotion ST1:3 - 1202,30002524-03BF,30002524-03BF,Win8/Srv,DBAcc2000,1.0016.0012,KATPC293,400,,Versand,5,,,,10/10/2022 22:00,10/11/2022 2:59,10/10/2022 22:00,0,,,0,100,0,0,0,0
4814,BSH,COM2Ethernet 8001034,"13602811BF
",,Win7/Srv,DBAcc2000,1.16.2,KATPC308,,,Versand,8,,,,10/10/2022 22:00,10/11/2022 6:00,10/10/2022 22:00,0,,,0,100,0,0,0,0
4462,DataModul,eMotion ST1:3 - 1202,30002524-03BF,,Win7/Srv,DBAcc2000,1.0016.0011,KATPC243,383,2459,FKT_V2,11,,,1.30:204800:071,10/10/2022 22:00,10/11/2022 3:04,10/10/2022 22:00,0,,,0,100,0,0,0,0
F556,Kathrein,FlexRET RAE,30003817BF,,Win8/Srv,DBAcc2000,1.0016.0017,KATPC529,0551/A,17735,FKTHand,5,,,,10/10/2022 22:00,10/11/2022 6:00,10/10/2022 22:00,0,,,0,100,0,0,0,0
9999,Tremec,TRC75,V2417,,Win7/Srv,DBAcc2000,1.0016.0017,KATPC189,0464/A,,WT-PRG2-Befülle,11,,,,10/10/2022 22:00,10/10/2022 22:07,10/10/2022 22:00,0,,,0,100,0,0,0,0
6730,DataModul,easyMaxTOUCH2952T2,30002870-04BF,,Win8/Srv,DBAcc2000,1.0016.0017,KATPC433,0505-A,16356,NutzTrenn,8,,,,10/10/2022 22:00,10/11/2022 1:10,10/10/2022 22:00,0,,,0,100,0,0,0,0
6964,Kinexon,X-Tag 1.3,10000045,,Win8/Srv,DBAcc2000,1.0016.0017,KATPC460,,,EOL,10,,,2.04:188416:270,10/10/2022 22:00,10/11/2022 6:00,10/10/2022 22:00,0,,,0,100,0,0,0,0
6687,BSH,LP IaB BO62 Gl,10000033,30003996,Win8/Srv,DBAcc2000,1.0016.0012,KATPC127,0323/A,,BG-Versand,13,,,,10/10/2022 22:00,10/10/2022 22:36,10/10/2022 22:21,0,30,119.4,5.33,100,24,0,0,0
6012,Telic,ELT-Main 74370.000 R,13603086-01BF,13603086-01BF,Win8/Srv,DBAcc2000,1.0016.0012,KATPC399,0467/A,16123,FKT,9,,,1.6.4:1675264:1,10/10/2022 22:00,10/10/2022 23:41,10/10/2022 23:23,1020,1080,233.29,223.95,100,22,0,0,0
7067,Ericsson,ALC_RD,30003592-03,,Win7/Srv,DBAcc2000,1.0016.0012,KATPC086,0299/A,,EndTest,3,,,1.12:118784:140,10/10/2022 22:00,10/11/2022 6:00,10/11/2022 5:38,1261,27120,4613.33,262.4,75,3,1,2,1
F472,Kathrein,RCU RFID,30002707-02BF,,Win7/Srv,DBAcc2000,1.0016.0010,KATPC180,0379/A,,BG-Versand,20,,,,10/10/2022 22:00,10/11/2022 6:00,10/10/2022 22:00,0,,,0,100,0,0,0,0
9999,Tremec,TRC75,V2417,,Win7/Srv,DBAcc2000,1.0016.0017,KATPC189,,,Silikonierung_P,1,,,,10/10/2022 22:00,10/11/2022 6:00,10/11/2022 4:58,3692,4440,302.76,260.89,100,83,0,0,0
